COHORTE;ESTRATO;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38
2002-1;Estrato 3;11.5%;14.41%;18.49%;20.09%;21.69%;22.85%;23.87%;25.47%;26.2%;27.66%;28.09%;28.68%;28.68%;29.26%;29.26%;29.4%;29.69%;29.84%;30.28%;30.57%;30.71%;31.0%;31.15%;31.15%;31.3%;31.44%;31.73%;32.02%;;;;;;;;;;
2002-1;Estrato 4;12.14%;16.43%;17.86%;20.71%;22.86%;25.71%;27.14%;27.14%;27.86%;28.57%;28.57%;28.57%;28.57%;29.29%;30.71%;30.71%;30.71%;30.71%;30.71%;30.71%;30.71%;30.71%;30.71%;30.71%;30.71%;30.71%;30.71%;30.71%;;;;;;;;;;
2002-1;Estrato 5;0.0%;0.0%;0.0%;0.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;;;;;;;;;;
2002-2;Sin información;14.8%;18.37%;21.43%;26.02%;29.08%;30.61%;33.16%;34.18%;35.2%;36.73%;37.76%;39.8%;40.82%;41.84%;43.37%;44.39%;45.41%;45.92%;47.45%;48.47%;48.47%;48.98%;50.51%;50.51%;51.53%;51.53%;52.04%;;;;;;;;;;;
2002-2;Estrato 1;18.42%;18.42%;23.68%;26.32%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;31.58%;34.21%;34.21%;34.21%;34.21%;34.21%;;;;;;;;;;;
2002-2;Estrato 2;12.72%;15.9%;20.32%;22.79%;24.03%;25.8%;27.21%;28.8%;30.04%;31.45%;32.33%;34.1%;34.45%;35.16%;35.51%;36.04%;36.4%;36.4%;36.93%;36.93%;37.28%;37.99%;38.34%;38.52%;38.52%;38.69%;38.69%;;;;;;;;;;;
2002-2;Estrato 3;11.89%;14.74%;20.29%;23.45%;25.67%;27.42%;28.37%;29.64%;31.54%;32.49%;32.81%;33.76%;34.07%;34.87%;35.34%;35.66%;36.45%;36.77%;37.24%;37.4%;37.4%;38.19%;38.51%;38.51%;38.67%;38.83%;39.14%;;;;;;;;;;;
2002-2;Estrato 4;21.67%;25.0%;26.67%;30.0%;31.67%;33.33%;33.33%;33.33%;33.33%;36.67%;36.67%;38.33%;38.33%;38.33%;40.0%;40.0%;41.67%;41.67%;41.67%;43.33%;43.33%;43.33%;43.33%;45.0%;45.0%;45.0%;45.0%;;;;;;;;;;;
2002-2;Estrato 5;12.5%;12.5%;12.5%;25.0%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;37.5%;;;;;;;;;;;
2002-2;Estrato 6;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;;;;;;;;;;;
2003-1;Sin información;13.13%;18.75%;21.88%;23.75%;25.63%;26.88%;30.0%;31.25%;31.25%;32.5%;33.13%;34.38%;35.63%;36.88%;37.5%;37.5%;38.13%;38.75%;40.0%;41.88%;43.13%;43.13%;44.38%;45.63%;46.25%;46.88%;;;;;;;;;;;;
2003-1;Estrato 1;17.24%;20.69%;20.69%;24.14%;24.14%;24.14%;24.14%;24.14%;27.59%;29.31%;31.03%;31.03%;32.76%;32.76%;32.76%;34.48%;36.21%;36.21%;36.21%;36.21%;36.21%;36.21%;36.21%;36.21%;36.21%;36.21%;;;;;;;;;;;;
2003-1;Estrato 2;10.37%;14.76%;17.75%;20.39%;23.2%;24.43%;26.19%;27.94%;29.17%;30.23%;30.4%;31.28%;31.63%;32.51%;32.86%;33.22%;33.74%;33.92%;34.62%;34.8%;35.33%;35.5%;35.5%;35.85%;36.03%;36.2%;;;;;;;;;;;;
2003-1;Estrato 3;10.18%;12.72%;15.52%;18.07%;19.21%;19.59%;20.36%;22.14%;23.41%;24.17%;24.81%;25.32%;26.34%;27.1%;27.48%;28.12%;28.24%;28.63%;28.63%;29.01%;29.39%;29.39%;29.39%;29.77%;29.9%;30.03%;;;;;;;;;;;;
2003-1;Estrato 4;8.05%;8.05%;13.79%;17.24%;18.39%;18.39%;19.54%;22.99%;22.99%;24.14%;24.14%;24.14%;25.29%;25.29%;25.29%;25.29%;25.29%;25.29%;25.29%;25.29%;25.29%;25.29%;25.29%;25.29%;25.29%;25.29%;;;;;;;;;;;;
2003-1;Estrato 5;0.0%;0.0%;0.0%;0.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;;;;;;;;;;;;
2003-2;Sin información;10.45%;13.43%;14.93%;19.4%;20.9%;20.9%;23.13%;23.88%;24.63%;26.12%;29.85%;31.34%;32.09%;32.84%;35.07%;37.31%;38.06%;38.06%;38.06%;38.81%;39.55%;39.55%;41.04%;42.54%;44.03%;;;;;;;;;;;;;
2003-2;Estrato 1;14.55%;21.82%;23.64%;25.45%;25.45%;27.27%;29.09%;29.09%;29.09%;32.73%;32.73%;36.36%;36.36%;36.36%;38.18%;38.18%;40.0%;45.45%;47.27%;49.09%;49.09%;49.09%;49.09%;49.09%;49.09%;;;;;;;;;;;;;
2003-2;Estrato 2;11.08%;14.62%;18.32%;19.79%;20.68%;22.16%;23.93%;25.11%;26.0%;26.74%;27.03%;27.92%;28.36%;29.1%;29.69%;29.99%;30.43%;30.72%;31.46%;32.05%;32.94%;32.94%;33.09%;33.68%;34.12%;;;;;;;;;;;;;
2003-2;Estrato 3;9.71%;14.29%;18.32%;21.06%;22.71%;24.18%;26.56%;29.49%;31.14%;31.87%;33.52%;34.43%;34.8%;35.71%;36.08%;36.08%;36.26%;36.26%;36.81%;37.36%;37.73%;37.73%;38.64%;38.83%;38.83%;;;;;;;;;;;;;
2003-2;Estrato 4;13.33%;26.67%;36.67%;43.33%;43.33%;43.33%;43.33%;46.67%;46.67%;46.67%;46.67%;46.67%;46.67%;46.67%;50.0%;53.33%;53.33%;53.33%;53.33%;53.33%;53.33%;53.33%;53.33%;53.33%;53.33%;;;;;;;;;;;;;
2003-2;Estrato 5;0.0%;0.0%;0.0%;0.0%;0.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;;;;;;;;;;;;;
2004-1;Sin información;4.55%;6.82%;9.09%;11.36%;12.88%;17.42%;19.7%;21.97%;21.97%;23.48%;25.0%;26.52%;28.79%;29.55%;29.55%;30.3%;31.06%;32.58%;33.33%;34.09%;34.85%;37.88%;38.64%;39.39%;;;;;;;;;;;;;;
2004-1;Estrato 1;26.92%;26.92%;26.92%;32.69%;32.69%;34.62%;36.54%;36.54%;36.54%;36.54%;36.54%;36.54%;36.54%;36.54%;36.54%;38.46%;38.46%;38.46%;38.46%;40.38%;40.38%;40.38%;40.38%;40.38%;;;;;;;;;;;;;;
2004-1;Estrato 2;11.14%;15.17%;19.19%;21.74%;23.36%;25.77%;27.79%;28.72%;28.99%;29.26%;29.8%;29.93%;30.47%;31.01%;31.54%;31.81%;32.21%;32.48%;33.29%;33.69%;33.83%;34.63%;35.17%;35.57%;;;;;;;;;;;;;;
2004-1;Estrato 3;11.41%;15.56%;17.93%;19.56%;21.48%;23.56%;26.37%;27.26%;27.7%;28.44%;28.59%;29.04%;29.19%;29.33%;29.78%;30.07%;30.07%;30.81%;31.26%;31.41%;31.56%;31.56%;31.85%;31.85%;;;;;;;;;;;;;;
2004-1;Estrato 4;16.67%;22.22%;22.22%;27.78%;27.78%;27.78%;27.78%;27.78%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;38.89%;38.89%;38.89%;38.89%;38.89%;38.89%;38.89%;38.89%;38.89%;38.89%;;;;;;;;;;;;;;
2004-1;Estrato 5;0.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;;;;;;;;;;;;;;
2004-2;Sin información;10.53%;13.25%;15.06%;17.6%;19.24%;20.15%;21.78%;22.87%;23.96%;25.59%;26.13%;26.32%;27.22%;27.77%;28.49%;29.4%;29.76%;29.95%;30.49%;30.67%;31.4%;31.76%;32.12%;;;;;;;;;;;;;;;
2004-2;Estrato 1;13.16%;21.05%;23.68%;23.68%;23.68%;23.68%;26.32%;26.32%;26.32%;26.32%;26.32%;31.58%;34.21%;34.21%;34.21%;36.84%;36.84%;36.84%;39.47%;39.47%;42.11%;44.74%;44.74%;;;;;;;;;;;;;;;
2004-2;Estrato 2;17.16%;21.96%;26.01%;28.6%;32.29%;34.32%;36.16%;37.08%;38.38%;39.85%;40.77%;42.25%;42.8%;42.99%;44.1%;45.02%;45.57%;46.13%;46.31%;46.31%;46.86%;47.05%;47.42%;;;;;;;;;;;;;;;
2004-2;Estrato 3;17.65%;23.88%;26.64%;29.07%;33.22%;34.6%;34.95%;36.68%;37.72%;39.1%;39.79%;41.18%;41.87%;42.21%;42.91%;43.94%;44.29%;44.29%;44.98%;45.67%;46.02%;46.02%;46.37%;;;;;;;;;;;;;;;
2004-2;Estrato 4;7.69%;7.69%;15.38%;23.08%;23.08%;23.08%;23.08%;30.77%;38.46%;38.46%;38.46%;38.46%;38.46%;38.46%;46.15%;46.15%;46.15%;46.15%;46.15%;46.15%;46.15%;46.15%;46.15%;;;;;;;;;;;;;;;
2004-2;Estrato 6;20.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;;;;;;;;;;;;;;;
2005-1;Sin información;22.14%;24.79%;27.44%;28.97%;30.78%;33.57%;34.4%;35.93%;36.49%;37.6%;38.3%;38.72%;38.86%;39.69%;40.25%;41.36%;41.36%;41.5%;41.64%;41.92%;42.06%;42.48%;;;;;;;;;;;;;;;;
2005-1;Estrato 1;21.92%;26.03%;26.03%;27.4%;27.4%;30.14%;32.88%;32.88%;34.25%;36.99%;36.99%;38.36%;38.36%;38.36%;38.36%;38.36%;38.36%;38.36%;38.36%;39.73%;39.73%;39.73%;;;;;;;;;;;;;;;;
2005-1;Estrato 2;19.85%;24.72%;28.21%;29.84%;31.09%;34.33%;35.83%;37.08%;37.95%;38.45%;38.83%;39.95%;40.82%;41.07%;41.82%;41.95%;42.45%;43.07%;43.45%;43.95%;44.32%;44.44%;;;;;;;;;;;;;;;;
2005-1;Estrato 3;15.72%;20.96%;23.48%;26.0%;28.72%;31.45%;33.96%;34.59%;35.64%;36.27%;36.48%;36.9%;37.32%;37.95%;38.78%;39.62%;40.25%;40.67%;40.88%;41.3%;41.72%;42.14%;;;;;;;;;;;;;;;;
2005-1;Estrato 4;15.91%;17.05%;19.32%;21.59%;28.41%;29.55%;30.68%;32.95%;32.95%;34.09%;34.09%;35.23%;35.23%;35.23%;35.23%;36.36%;36.36%;36.36%;36.36%;36.36%;38.64%;38.64%;;;;;;;;;;;;;;;;
2005-1;Estrato 5;20.0%;20.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;40.0%;;;;;;;;;;;;;;;;
2005-1;Estrato 6;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;;;;;;;;;;;;;;;
2005-2;Sin información;17.42%;20.59%;25.23%;27.83%;30.32%;31.9%;33.37%;34.39%;35.52%;36.65%;36.88%;37.9%;39.14%;39.71%;39.93%;40.38%;40.72%;41.18%;41.86%;42.31%;42.65%;;;;;;;;;;;;;;;;;
2005-2;Estrato 1;22.64%;26.42%;28.3%;30.19%;30.19%;30.19%;32.08%;32.08%;33.96%;33.96%;35.85%;35.85%;35.85%;37.74%;39.62%;39.62%;39.62%;39.62%;39.62%;39.62%;41.51%;;;;;;;;;;;;;;;;;
2005-2;Estrato 2;19.53%;24.82%;29.2%;32.12%;33.58%;35.58%;36.5%;37.41%;38.32%;39.78%;40.69%;41.42%;41.97%;42.34%;43.25%;43.25%;43.61%;43.61%;44.16%;44.34%;45.26%;;;;;;;;;;;;;;;;;
2005-2;Estrato 3;23.55%;29.34%;35.95%;38.43%;40.91%;44.21%;46.28%;48.35%;50.0%;50.41%;50.41%;52.07%;52.48%;54.13%;54.13%;54.96%;55.79%;55.79%;55.79%;55.79%;56.2%;;;;;;;;;;;;;;;;;
2005-2;Estrato 4;18.87%;28.3%;32.08%;37.74%;39.62%;39.62%;41.51%;47.17%;49.06%;49.06%;49.06%;49.06%;49.06%;49.06%;49.06%;49.06%;50.94%;50.94%;50.94%;50.94%;50.94%;;;;;;;;;;;;;;;;;
2005-2;Estrato 5;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;;;;;;;;;;;;;;;;;
2005-2;Estrato 6;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;;;;;;;;;;;;;;;;;
2006-1;Sin información;27.16%;31.38%;33.76%;35.78%;36.7%;38.53%;39.82%;40.92%;41.65%;42.57%;43.49%;43.85%;44.4%;44.77%;44.77%;44.95%;44.95%;45.5%;45.87%;46.24%;;;;;;;;;;;;;;;;;;
2006-1;Estrato 1;22.22%;30.0%;36.67%;37.78%;42.22%;43.33%;43.33%;43.33%;43.33%;46.67%;47.78%;51.11%;52.22%;53.33%;53.33%;53.33%;53.33%;54.44%;54.44%;55.56%;;;;;;;;;;;;;;;;;;
2006-1;Estrato 2;16.67%;20.39%;25.11%;28.18%;29.82%;31.91%;33.66%;35.31%;36.29%;37.06%;37.61%;38.49%;39.8%;40.68%;41.01%;41.34%;41.34%;41.45%;41.67%;42.11%;;;;;;;;;;;;;;;;;;
2006-1;Estrato 3;12.4%;16.33%;20.09%;22.14%;23.7%;25.43%;26.53%;27.63%;29.2%;29.98%;31.08%;31.4%;32.03%;32.34%;33.12%;33.44%;33.59%;33.75%;34.07%;34.54%;;;;;;;;;;;;;;;;;;
2006-1;Estrato 4;30.0%;35.0%;35.0%;40.0%;45.0%;50.0%;55.0%;55.0%;55.0%;60.0%;60.0%;60.0%;60.0%;60.0%;60.0%;60.0%;60.0%;60.0%;60.0%;60.0%;;;;;;;;;;;;;;;;;;
2006-1;Estrato 5;0.0%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;;;;;;;;;;;;;;;;;;
2006-1;Estrato 6;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;;;;;;;;;;;;;;;;;
2006-2;Sin información;14.61%;18.88%;21.35%;23.15%;25.39%;27.64%;28.99%;29.44%;30.56%;31.69%;33.03%;33.93%;35.06%;36.18%;37.08%;37.75%;38.43%;38.65%;39.1%;;;;;;;;;;;;;;;;;;;
2006-2;Estrato 1;14.29%;19.64%;23.21%;25.0%;28.57%;30.36%;32.14%;32.14%;33.93%;33.93%;33.93%;33.93%;33.93%;35.71%;37.5%;39.29%;39.29%;39.29%;39.29%;;;;;;;;;;;;;;;;;;;
2006-2;Estrato 2;10.27%;14.51%;16.82%;19.26%;22.46%;24.9%;26.06%;27.86%;29.14%;30.42%;31.45%;31.96%;32.22%;33.5%;34.15%;34.92%;35.43%;35.82%;36.33%;;;;;;;;;;;;;;;;;;;
2006-2;Estrato 3;12.44%;16.84%;19.95%;24.09%;26.17%;26.94%;29.02%;29.79%;31.35%;32.9%;34.46%;34.97%;36.79%;37.82%;37.82%;38.34%;38.6%;38.86%;39.64%;;;;;;;;;;;;;;;;;;;
2006-2;Estrato 4;14.0%;24.0%;28.0%;30.0%;32.0%;34.0%;36.0%;40.0%;40.0%;40.0%;40.0%;40.0%;42.0%;44.0%;44.0%;44.0%;44.0%;46.0%;46.0%;;;;;;;;;;;;;;;;;;;
2006-2;Estrato 5;40.0%;60.0%;60.0%;60.0%;60.0%;60.0%;60.0%;80.0%;80.0%;80.0%;80.0%;80.0%;80.0%;80.0%;80.0%;80.0%;80.0%;80.0%;80.0%;;;;;;;;;;;;;;;;;;;
2006-2;Estrato 6;0.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;;;;;;;;;;;;;;;;;;;
2007-1;Sin información;16.55%;21.21%;24.24%;26.11%;28.9%;31.7%;33.33%;34.73%;35.9%;36.6%;37.3%;38.23%;39.16%;39.86%;40.33%;41.26%;41.49%;42.19%;;;;;;;;;;;;;;;;;;;;
2007-1;Estrato 1;21.74%;31.52%;34.78%;35.87%;39.13%;42.39%;44.57%;46.74%;46.74%;47.83%;48.91%;50.0%;50.0%;51.09%;51.09%;52.17%;53.26%;53.26%;;;;;;;;;;;;;;;;;;;;
2007-1;Estrato 2;16.67%;22.33%;25.89%;28.56%;31.0%;31.78%;33.0%;33.67%;34.44%;35.33%;36.56%;37.44%;38.22%;38.56%;38.56%;39.11%;39.44%;39.78%;;;;;;;;;;;;;;;;;;;;
2007-1;Estrato 3;12.02%;16.49%;20.03%;22.8%;24.96%;26.81%;27.27%;28.97%;29.74%;30.97%;31.9%;33.59%;33.9%;34.36%;34.51%;34.67%;35.59%;35.75%;;;;;;;;;;;;;;;;;;;;
2007-1;Estrato 4;17.86%;25.0%;28.57%;28.57%;28.57%;28.57%;32.14%;32.14%;32.14%;32.14%;35.71%;35.71%;39.29%;39.29%;39.29%;39.29%;39.29%;39.29%;;;;;;;;;;;;;;;;;;;;
2007-1;Estrato 5;0.0%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;;;;;;;;;;;;;;;;;;;;
2007-1;Estrato 6;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;50.0%;50.0%;50.0%;;;;;;;;;;;;;;;;;;;;
2007-2;Sin información;17.68%;22.56%;24.09%;26.22%;27.13%;30.79%;31.71%;34.45%;35.06%;36.28%;36.89%;38.11%;38.41%;39.02%;39.63%;41.16%;42.07%;;;;;;;;;;;;;;;;;;;;;
2007-2;Estrato 1;18.99%;22.78%;24.05%;29.11%;30.38%;32.91%;32.91%;32.91%;37.97%;41.77%;44.3%;45.57%;45.57%;45.57%;48.1%;48.1%;48.1%;;;;;;;;;;;;;;;;;;;;;
2007-2;Estrato 2;12.85%;18.18%;22.15%;24.97%;26.75%;29.47%;31.24%;32.71%;33.65%;34.69%;35.84%;37.1%;37.62%;38.14%;38.56%;38.77%;39.39%;;;;;;;;;;;;;;;;;;;;;
2007-2;Estrato 3;11.91%;16.43%;19.51%;22.38%;24.85%;26.28%;28.34%;31.01%;32.85%;33.88%;34.5%;35.32%;35.52%;36.34%;36.96%;37.58%;38.19%;;;;;;;;;;;;;;;;;;;;;
2007-2;Estrato 4;10.53%;21.05%;21.05%;26.32%;31.58%;36.84%;36.84%;42.11%;42.11%;42.11%;42.11%;42.11%;42.11%;42.11%;42.11%;42.11%;42.11%;;;;;;;;;;;;;;;;;;;;;
2007-2;Estrato 5;0.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;;;;;;;;;;;;;;;;;;;;;
2007-2;Estrato 6;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;;;;;;;;;;;;;;;;;;;;;
2008-1;Sin información;10.74%;15.11%;17.88%;20.72%;22.73%;24.67%;26.06%;26.96%;28.0%;28.9%;30.08%;30.7%;31.39%;32.71%;33.26%;33.96%;;;;;;;;;;;;;;;;;;;;;;
2008-1;Estrato 1;11.48%;19.67%;26.23%;26.23%;26.23%;29.51%;32.79%;34.43%;36.07%;36.07%;36.07%;36.07%;36.07%;37.7%;37.7%;39.34%;;;;;;;;;;;;;;;;;;;;;;
2008-1;Estrato 2;17.04%;23.58%;28.06%;29.43%;30.98%;33.73%;35.63%;36.32%;36.83%;37.87%;38.55%;38.73%;39.07%;40.79%;41.82%;42.51%;;;;;;;;;;;;;;;;;;;;;;
2008-1;Estrato 3;11.33%;14.78%;18.72%;23.15%;23.65%;26.11%;27.59%;29.56%;31.03%;31.53%;32.51%;34.98%;35.47%;37.44%;37.93%;38.42%;;;;;;;;;;;;;;;;;;;;;;
2008-1;Estrato 4;27.78%;33.33%;38.89%;44.44%;44.44%;50.0%;55.56%;55.56%;55.56%;55.56%;55.56%;55.56%;55.56%;55.56%;55.56%;55.56%;;;;;;;;;;;;;;;;;;;;;;
2008-1;Estrato 5;50.0%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;66.67%;;;;;;;;;;;;;;;;;;;;;;
2008-1;Estrato 6;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;;;;;;;;;;;;;;;;;;;;;;
2008-2;Sin información;10.86%;14.77%;17.6%;19.43%;21.04%;22.34%;23.87%;25.4%;27.08%;28.62%;29.99%;30.68%;31.83%;32.59%;33.36%;;;;;;;;;;;;;;;;;;;;;;;
